city,artist,venue,weekend,pop,month,score,genre,minprice
Syracuse,Kane Brown,St. Joseph‰Ûªs Health Amphitheater at Lakeview,1,144669,6,77,Country,18.75
East Rutherford,Rich The Kid,MetLife Stadium,1,???,6,85,Hip-Hop/Rap,59
Chicago,Adele,UIC Pavilion,0,2718782,6,83,Comedy,37.5
Nashville,Kane Brown,Bridgestone Arena,1,634464,9,77,Country,25
Niagara Falls,Kane Brown,The Avalon Ballroom Theatre At Niagara Fallsview Casino Resort,0,49468,7,77,Country,50.85
Raleigh,Keith Urban,Coastal Credit Union Music Park at Walnut Creek,0,431746,7,77,Country,39.25
Phoenix,Keith Urban,Ak-Chin Pavilion,0,1513367,10,77,Country,37.25
Arlington,Taylor Swift,AT&T Stadium,1,75994,10,89,Rock,49.5
Houston,Taylor Swift,NRG Stadium,1,2195914,9,89,Rock,47.5
Boise,Godsmack,Taco Bell Arena,0,214237,10,71,Rock,37.5
East Rutherford,Taylor Swift,MetLife Stadium,0,???,7,89,Rock,49.5
St Louis,Taylor Swift,The Dome at America's Center,0,318416,9,89,Rock,46.5
Foxborough,Taylor Swift,Gillette Stadium,1,???,7,89,Rock,49.5
Atlanta,Taylor Swift,Mercedes-Benz Stadium,0,447841,8,89,Rock,44.5
Columbus,Taylor Swift,Ohio Stadium,1,202824,7,89,Rock,49.5
Cleveland,Taylor Swift,"FirstEnergy Stadium, Home of the Cleveland Browns",0,42774,7,89,Rock,45.5
Minneapolis,Taylor Swift,U.S. Bank Stadium,0,400070,8,89,Rock,47.5
Pittsburgh,Taylor Swift,Heinz Field,0,305841,8,89,Rock,42.25
Phoenix,Rich The Kid,Ak-Chin Pavilion,1,1513367,6,85,R&B,25
Mountain View,Lil Uzi Vert,Shoreline Amphitheatre,1,77846,7,89,Hip-Hop/Rap,29.5
Detroit,Bad Bunny,Masonic Temple,0,688701,9,95,Hip-Hop/Rap,59
Mansfield,Post Malone,Xfinity Center,0,60872,8,100,Hip-Hop/Rap,33
Philadelphia,Post Malone,Made in America Venue,1,1553165,9,100,Undefined,125
Maryland Heights,Bad Wolves,"Hollywood Casino Amphitheatre - St. Louis, MO",0,???,8,68,Metal,30
Hartford,Chris Brown,XFINITY Theatre,1,125017,7,90,R&B,25
Tinley Park,Godsmack,"Hollywood Casino Amphitheatre - Chicago, IL",0,57282,7,71,Rock,22
Atlanta,Janelle Monae,Tabernacle,1,447841,8,76,R&B,49.5
Nashville,Janelle Monae,Ryman Auditorium,0,634464,7,76,R&B,34.5
Milwaukee,The Weeknd,American Family Insurance Amphitheater-Summerfest,1,599164,7,93,Hip-Hop/Rap,65.23
Nijmegen,Eminem,"Goffertpark, Nijmegen",0,???,7,91,Hip-Hop/Rap,446
Nijmegen,Eminem,"Goffertpark, Nijmegen",0,???,7,91,Rock,566
Nijmegen,Eminem,"Goffertpark, Nijmegen",0,???,7,91,Rock,226
MÌ©xico,The Weeknd,Palacio de los Deportes,0,91956,10,93,Hip-Hop/Rap,488
Charlotte,NF,PNC Music Pavilion,0,44349,6,81,Hip-Hop/Rap,25
Tinley Park,Shinedown,"Hollywood Casino Amphitheatre - Chicago, IL",0,57282,7,76,Rock,22
Brookings,Shinedown,Swiftel Center,0,???,10,76,Rock,36.5
Atlanta,Shinedown,Cellairis Amphitheatre at Lakewood,0,447841,8,76,Rock,34
Noblesville,Shinedown,Ruoff Home Mortgage Music Center,1,56540,7,76,Rock,21
Bonner Springs,Shinedown,Providence Medical Center Amphitheater,0,???,8,76,Rock,29.5
Portland,Shinedown,Veterans Memorial Coliseum,0,609456,10,76,Rock,23
Woodlands,Shinedown,The Cynthia Woods Mitchell Pavilion presented by Huntsman,1,???,8,76,Rock,31
Virginia Beach,Shinedown,Veterans United Home Loans Amphitheater at Virginia Beach,1,448479,8,76,Rock,12
Scranton,Shinedown,The Pavilion at Montage Mountain,0,75806,8,76,Rock,21
Bristow,Shinedown,Jiffy Lube Live,1,???,8,76,Rock,19
Darien Center,NF,Darien Lake Amphitheater,0,???,7,81,Hip-Hop/Rap,25
Nashville,Halsey,Ascend Amphitheater part of the Journeys Concert Series,0,634464,7,85,Rock,29.5
Indianapolis,Halsey,Farm Bureau Insurance Lawn at White River State Park,0,843393,7,85,Rock,29.5
Milwaukee,Halsey,American Family Insurance Amphitheater-Summerfest,0,599164,6,85,Rock,60.07
Mountain View,Halsey,Shoreline Amphitheatre,0,77846,7,85,Rock,27.5
East Providence,Halsey,Bold Point Park,0,47149,7,85,Rock,42.75
Saratoga Springs,Halsey,Saratoga Performing Arts Center,0,???,7,85,Rock,20
Independence,Halsey,Silverstein Eye Centers Arena,1,117240,7,85,Rock,29.5
Las Vegas,Halsey,Pearl Concert Theater at Palms Casino Resort,1,226877,7,85,Rock,54.13
Rosemont,Halsey,Allstate Arena,1,???,6,85,Dance/Electronic,55
Honolulu,Halsey,Neal S Blaisdell Arena,0,347884,8,85,Rock,35
Phoenix,Rae Sremmurd,Ak-Chin Pavilion,0,1513367,8,87,Hip-Hop/Rap,35
Dallas,Rae Sremmurd,Dos Equis Pavilion,1,1257676,8,87,Hip-Hop/Rap,39
Chicago,Zedd,Huntington Bank Pavilion at Northerly Island,1,2718782,6,85,Family,49.5
Philadelphia,Zedd,Made in America Venue,1,1553165,9,85,Undefined,125
Chicago,Zedd,Huntington Bank Pavilion at Northerly Island,1,2718782,6,85,Family,49.5
Wantagh,Zedd,Northwell Health at Jones Beach Theater,0,???,6,85,Rock,39
Bristow,Bad Wolves,Jiffy Lube Live,0,???,8,68,Rock,30
Burgettstown,Chris Brown,KeyBank Pavilion,1,???,7,90,R&B,25
Amsterdam,Maluma,Ziggo Dome,1,???,9,89,Rock,39.6
Woodlands,Imagine Dragons,The Cynthia Woods Mitchell Pavilion presented by Huntsman,1,???,8,89,Rock,55
Maryland Heights,Imagine Dragons,"Hollywood Casino Amphitheatre - St. Louis, MO",0,???,7,89,Rock,35
Las Vegas,Bon Jovi,Suncoast Showroom,1,226877,6,78,Undefined,12
Amsterdam,Maluma,None,1,???,9,89,Family,12.21
Noblesville,Imagine Dragons,Ruoff Home Mortgage Music Center,0,56540,6,89,Rock,43.5
Albuquerque,Imagine Dragons,Isleta Amphitheater,0,556495,7,89,Rock,49.5
Inglewood,Imagine Dragons,The Forum,1,111542,7,89,Rock,29.5
West Palm Beach,Imagine Dragons,Coral Sky Amphitheatre at the S. Florida Fairgrounds,0,102436,8,89,Rock,35
Virginia Beach,Imagine Dragons,Veterans United Home Loans Amphitheater at Virginia Beach,0,448479,7,89,Rock,26
New Orleans,Imagine Dragons,Smoothie King Center,1,378715,8,89,Rock,26.5
Columbia,Imagine Dragons,Colonial Life Arena,1,646449,7,89,Rock,29.5
Tinley Park,Imagine Dragons,"Hollywood Casino Amphitheatre - Chicago, IL",0,57282,7,89,Rock,35
Dallas,Godsmack,Dos Equis Pavilion,1,1257676,8,71,Rock,19
Hartford,NF,XFINITY Theatre,1,125017,6,81,Hip-Hop/Rap,18.75
Cincinnati,NF,Riverbend Music Center,0,297517,6,81,Hip-Hop/Rap,15.25
Palencia,Maluma,Estadio Nueva Balastera,0,???,9,89,Rock,37.95
Raleigh,Darius Rucker,Coastal Credit Union Music Park at Walnut Creek,0,431746,10,71,Country,34.25
Nijmegen,Eminem,"Goffertpark, Nijmegen",0,???,7,91,Rock,82.5
Nijmegen,Eminem,"Goffertpark, Nijmegen",0,???,7,91,Rock,363
Darien Center,Lil Uzi Vert,Darien Lake Amphitheater,0,???,8,89,Hip-Hop/Rap,29.5
Wheatland,Darius Rucker,Toyota Amphitheatre,0,???,8,71,Country,34.25
Hannover,Eminem,None,0,???,7,91,Rock,305
Hannover,Eminem,None,0,???,7,91,Hip-Hop/Rap,355
Hannover,Eminem,None,0,???,7,91,Hip-Hop/Rap,450
Hannover,Eminem,None,0,???,7,91,Hip-Hop/Rap,589
Bristow,Lynyrd Skynyrd,Jiffy Lube Live,1,???,7,74,Rock,29.5
Noblesville,Lynyrd Skynyrd,Ruoff Home Mortgage Music Center,1,56540,8,74,Rock,28.5
Hannover,Eminem,None,0,???,7,91,Hip-Hop/Rap,91.9
Stockholm,Eminem,None,1,???,7,91,Hip-Hop/Rap,1995
New York,Panic! At The Disco,Madison Square Garden,0,52122,7,84,Rock,30.75
Phoenix,Darius Rucker,Ak-Chin Pavilion,0,1513367,8,71,Country,34
New Orleans,Justin Timberlake,Smoothie King Center,0,378715,1,85,Rock,49.5
University Park,Justin Timberlake,Bryce Jordan Center,1,???,10,85,Rock,52.5
Oakland,Justin Timberlake,Oracle Arena,0,406253,12,85,Rock,49.5
Chicago,Justin Timberlake,United Center,0,2718782,10,85,Rock,55
Uncasville,Justin Timberlake,Mohegan Sun Arena,0,???,12,85,Rock,129
Atlanta,Justin Timberlake,Philips Arena,0,447841,1,85,Rock,53.5
San Antonio,Justin Timberlake,AT&T Center,1,1409019,1,85,Rock,49.5
Milwaukee,Justin Timberlake,Wisconsin Entertainment and Sports Center ,0,599164,9,85,Rock,53.5
Saint Paul,Justin Timberlake,Xcel Energy Center,0,???,9,85,Rock,49.5
Albany,Justin Timberlake,Times Union Center,1,76185,10,85,Rock,49.5
Bangor,MercyMe,Cross Insurance Center,1,???,11,65,Rock,25.75
New Orleans,MercyMe,Smoothie King Center,0,378715,10,65,Rock,25
Newark,MercyMe,Bob Carpenter Center at University of Delaware,0,44096,11,65,Rock,27
Mt Claremont,Parkway Drive,HBF Stadium,0,???,11,70,Metal,74.3
Independence,MercyMe,Silverstein Eye Centers Arena,0,117240,10,65,Rock,25.75
Charleston,MercyMe,Charleston Municipal Auditorium,1,50821,10,65,Rock,20
Huntsville,MercyMe,Von Braun Center Arena,0,186254,8,65,Rock,30
Jackson,MercyMe,Mississippi Coliseum,0,172638,10,65,Rock,25
Greensboro,MercyMe,Greensboro Coliseum Complex,1,279639,11,65,Rock,28
Doswell,MercyMe,Kings Dominion - Kingswood Amphitheatre,1,???,6,65,Undefined,18
Maryland Heights,Ty Dolla $ign,"Hollywood Casino Amphitheatre - St. Louis, MO",1,???,8,92,Hip-Hop/Rap,29.5
Indianapolis,MercyMe,Bankers Life Fieldhouse,0,843393,10,65,Rock,20
Houston,Parkway Drive,House of Blues Houston presented by Cricket Wireless,0,2195914,9,70,Metal,27.5
Portland,Bad Wolves,Aura,0,609456,6,68,Metal,20
San Francisco,Famous Dex,The Fillmore,1,66174,6,80,Hip-Hop/Rap,25
Boston,Famous Dex,House of Blues Boston presented by Cricket Wireless,0,645966,6,80,Hip-Hop/Rap,25
Lexington,Jordan Davis,Lexington Opera House,0,308428,7,69,Country,104.5
Maryland Heights,Darius Rucker,"Hollywood Casino Amphitheatre - St. Louis, MO",0,???,9,71,Country,34.25
Atlanta,Lynyrd Skynyrd,Cellairis Amphitheatre at Lakewood,1,447841,9,74,Rock,45
Charlotte,Darius Rucker,PNC Music Pavilion,0,44349,10,71,Country,34.25
Washington,Maroon,Capital One Arena,0,54790,10,88,Rock,49.5
Columbus,Maroon,Nationwide Arena,0,202824,9,88,Rock,49.5
Boston,Maroon,TD Garden,1,645966,10,88,Rock,45
New York,Maroon,Madison Square Garden,1,52122,10,88,Rock,59.5
Saint Paul,Maroon,Xcel Energy Center,0,???,9,88,Rock,20
Detroit,Maroon,Little Caesars Arena,1,688701,9,88,Rock,49.5
Cedar Rapids,Maroon,newbo evolve,1,128429,8,88,Rock,70
Newark,Maroon,Prudential Center,1,44096,10,88,Rock,80
Milwaukee,Maroon,Wisconsin Entertainment and Sports Center ,1,599164,9,88,Rock,49.5
Indianapolis,Maroon,Bankers Life Fieldhouse,0,843393,9,88,Rock,49.5
Tinley Park,Lynyrd Skynyrd,"Hollywood Casino Amphitheatre - Chicago, IL",0,57282,8,74,Rock,29.5
Pasadena,Ed Sheeran,Rose Bowl,1,152735,8,94,Pop,39.5
Tampa,Ed Sheeran,Raymond James Stadium,0,352957,11,94,Pop,37
Omaha,Luke Bryan,CenturyLink Center Omaha,0,434353,8,79,Country,36.75
Houston,Ed Sheeran,Minute Maid Park,1,2195914,11,94,Pop,39.5
Kansas City,Ed Sheeran,Arrowhead Stadium,1,148483,10,94,Pop,35.5
Nashville,Ed Sheeran,Nissan Stadium,1,634464,10,94,Pop,36.5
East Rutherford,Ed Sheeran,MetLife Stadium,0,???,9,94,Pop,39.5
Seattle,Ed Sheeran,CenturyLink Field,1,652405,8,94,Pop,35.5
Chicago,Ed Sheeran,Soldier Field,0,2718782,10,94,Pop,35.5
East Rutherford,Ed Sheeran,MetLife Stadium,1,???,9,94,Pop,39.5
Bristow,Luke Bryan,Jiffy Lube Live,1,???,8,79,Country,38.25
Noblesville,Luke Bryan,Ruoff Home Mortgage Music Center,0,56540,8,79,Country,37.25
Portland,Luke Bryan,Moda Center,0,609456,10,79,Country,34
Atlanta,Rich The Kid,Cellairis Amphitheatre at Lakewood,0,447841,7,85,R&B,25
Denver,Luke Bryan,Sports Authority Field At Mile High,1,649495,8,79,Country,29.75
Auburn,Luke Bryan,White River Amphitheatre,0,74860,10,79,Country,38
Noblesville,Dan + Shay,Ruoff Home Mortgage Music Center,0,56540,8,76,Country,32.75
Uncasville,Thomas Rhett,Mohegan Sun Arena,1,???,9,80,Country,59
Oklahoma City,Thomas Rhett,Chesapeake Energy Arena,0,56756,10,80,Country,29.75
Orlando,Dua Lipa,House of Blues Orlando,0,255483,6,92,Rock,32.5
Wantagh,Dua Lipa,Northwell Health at Jones Beach Theater,1,???,6,92,Dance/Electronic,25
San Diego,Dua Lipa,Cal Coast Credit Union Open Air Theatre at SDSU,0,1355896,6,92,Rock,25
 Minneapolis,Dua Lipa,Armory,1,400070,6,92,Rock,32.5
Las Vegas,Dua Lipa,The Cosmopolitan of Las Vegas,0,226877,9,92,Rock,39
Denver,Dua Lipa,Fillmore Auditorium (Denver),0,649495,6,92,Rock,35
Seattle,Dua Lipa,WaMu Theater,1,652405,7,92,Rock,32
Atlanta,Dua Lipa,Coca-Cola Roxy,1,447841,6,92,Rock,30
San Francisco,Dua Lipa,Bill Graham Civic Auditorium,1,66174,6,92,Rock,39.5
Miami,Dua Lipa,Bayfront Park Amphitheater,0,417650,6,92,Rock,30
Tucson,Bad Bunny,Tucson Arena,0,526116,8,95,Hip-Hop/Rap,39
Chula Vista,Dan + Shay,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),0,256780,9,76,Country,34.25
Syracuse,Lynyrd Skynyrd,St. Joseph‰Ûªs Health Amphitheater at Lakeview,0,144669,8,74,Rock,20
Tampa,Dan + Shay,MIDFLORIDA Credit Union Amphitheatre at the FL State Fairgrounds,0,352957,7,76,Country,34.75
Atlantic City,Sam Hunt,Atlantic City Beach,1,39551,7,76,Country,59.5
Glendale,Migos,Gila River Arena,1,196021,10,90,Hip-Hop/Rap,64.4
Dallas,Migos,American Airlines Center,0,1257676,9,90,Hip-Hop/Rap,74.5
Oakland,Migos,Oracle Arena,0,406253,10,90,Hip-Hop/Rap,59.5
Boston,Migos,TD Garden,0,645966,9,90,Hip-Hop/Rap,55
Saint Paul,Migos,Xcel Energy Center,0,???,8,90,Hip-Hop/Rap,46.5
Miami,Migos,AmericanAirlines Arena,0,417650,9,90,Hip-Hop/Rap,55.5
New York,Migos,Madison Square Garden,0,52122,8,90,Hip-Hop/Rap,99.5
Detroit,Migos,Little Caesars Arena,0,688701,8,90,Hip-Hop/Rap,59.5
Chicago,Migos,United Center,1,2718782,8,90,Hip-Hop/Rap,59.5
Tacoma,Migos,Tacoma Dome,0,203446,11,90,Hip-Hop/Rap,55.5
Seattle,Bad Bunny,WaMu Theater,0,652405,9,95,Hip-Hop/Rap,60.5
Glendale,Panic! At The Disco,Gila River Arena,0,196021,8,84,Rock,26
Seattle,Panic! At The Disco,KeyArena,0,652405,8,84,Rock,26.75
Atlanta,Chris Brown,Cellairis Amphitheatre at Lakewood,0,447841,7,90,R&B,25
San Diego,Anne-Marie,Balboa Theatre,1,1355896,6,88,Classical,28
San Francisco,Anne-Marie,AT & T Park,0,66174,8,88,Pop,39.5
Raleigh,Panic! At The Disco,PNC Arena,1,431746,7,84,Rock,26.75
Columbus,Panic! At The Disco,Nationwide Arena,1,202824,7,84,Rock,30.75
Detroit,Panic! At The Disco,Little Caesars Arena,1,688701,7,84,Rock,30.75
Dallas,Panic! At The Disco,American Airlines Center,1,1257676,8,84,Rock,30.75
Brooklyn,J Balvin,Barclays Center,1,78373,10,95,Hip-Hop/Rap,39.95
Sugar Land,J Balvin,Smart Financial Centre at Sugar Land,0,83860,10,95,Hip-Hop/Rap,39.95
Detroit,Cardi B,Little Caesars Arena,1,688701,9,93,Rock,79.5
Tulsa,Cardi B,BOK Center,0,398121,10,93,Rock,66.5
Dallas,Cardi B,American Airlines Center,1,1257676,10,93,Rock,59.5
Atlanta,Cardi B,Central Park,1,447841,9,93,Hip-Hop/Rap,93.05
Boston,Cardi B,TD Garden,0,645966,9,93,Rock,55
Tulsa,Cardi B,BOK Center,0,398121,10,93,Rock,56.5
Newark,Cardi B,Prudential Center,0,44096,10,93,Rock,79.5
Inglewood,J Balvin,The Forum,1,111542,9,95,Hip-Hop/Rap,39.95
Phoenix,J Balvin,Comerica Theatre ,1,1513367,9,95,Hip-Hop/Rap,49.95
Mountain View,Savage,Shoreline Amphitheatre,1,77846,6,89,Hip-Hop/Rap,79.5
Vancouver,Sam Hunt,BC Place,1,167405,10,76,Country,20
Irving,J Balvin,The Pavilion at Toyota Music Factory,0,228653,10,95,Hip-Hop/Rap,59.95
George,Dustin Lynch,Gorge Amphitheatre,0,76817,8,73,Country,215
Miami,J Balvin,AmericanAirlines Arena,1,417650,10,95,Hip-Hop/Rap,45.95
Inglewood,J Balvin,The Forum,1,111542,9,95,Hip-Hop/Rap,39.95
Miami,Bad Bunny,AmericanAirlines Arena,1,417650,6,95,World,49
Funner,Drake,Harrah‰Ûªs Resort SoCal ‰ÛÒ Dive,0,???,6,99,Country,18
Indianapolis,P!nk,Bankers Life Fieldhouse,0,843393,4,82,Rock,59.95
New York,P!nk,Madison Square Garden,0,52122,5,82,Rock,97.45
Miami,Drake,AmericanAirlines Arena,1,417650,9,99,Hip-Hop/Rap,55.5
New Orleans,P!nk,Smoothie King Center,1,378715,3,82,Rock,55
Saint Paul,P!nk,Xcel Energy Center,1,???,5,82,Rock,69.99
Dallas,P!nk,American Airlines Center,1,1257676,3,82,Rock,64.45
Columbus,P!nk,Schottenstein Center,1,202824,5,82,Rock,56.45
Detroit,P!nk,Little Caesars Arena,1,688701,4,82,Rock,59.45
San Antonio,P!nk,AT&T Center,0,1409019,3,82,Rock,51.99
Sunrise,P!nk,BB&T Center,0,90116,3,82,Rock,54.95
Oklahoma City,P!nk,Chesapeake Energy Arena,1,56756,3,82,Rock,54.95
Rosemont,J Balvin,Allstate Arena,0,???,10,95,Hip-Hop/Rap,39.95
Hartford,Lynyrd Skynyrd,XFINITY Theatre,1,125017,7,74,Rock,29.5
Montreal,Parkway Drive,MTELUS,1,???,9,70,Metal,34.5
San Antonio,Maroon,AT&T Center,0,1409019,6,88,Rock,49.5
Chicago,Maroon,United Center,0,2718782,9,88,Rock,49.5
Tampa,Maroon,Amalie Arena,1,352957,6,88,Rock,45.75
Nashville,Maroon,Bridgestone Arena,1,634464,9,88,Rock,45
St Louis,Maroon,Enterprise Center,0,318416,9,88,Rock,46.5
Charlotte,Maroon,Spectrum Center ,0,44349,10,88,Rock,49.5
Hershey,Maroon,Hersheypark Stadium,1,???,7,88,Rock,19.5
New Orleans,Maroon,Smoothie King Center,0,378715,6,88,Rock,46.5
Sunrise,Maroon,BB&T Center,1,90116,6,88,Rock,45.25
Dallas,Maroon,American Airlines Center,1,1257676,6,88,Rock,49.5
Las Vegas,Bruno Mars,Park Theater,1,226877,7,88,Rock,91.28
Detroit,Bruno Mars,Little Caesars Arena,1,688701,9,88,Rock,79.5
Las Vegas,Bruno Mars,Park Theater,0,226877,7,88,Rock,91.28
Dallas,Bruno Mars,American Airlines Center,1,1257676,10,88,Rock,59.5
Saint Paul,Bruno Mars,Xcel Energy Center,0,???,9,88,Rock,56.5
Nashville,Bruno Mars,Bridgestone Arena,1,634464,10,88,Rock,55
Nashville,Bruno Mars,Bridgestone Arena,1,634464,10,88,Rock,55
Las Vegas,Bruno Mars,Park Theater,0,226877,7,88,Rock,91.28
Bonner Springs,Portugal. The Man,Providence Medical Center Amphitheater,0,???,7,78,Undefined,35
Camden,Portugal. The Man,BB&T Pavilion  ,1,76903,6,78,Rock,29.5
Brooklyn,Bruno Mars,Barclays Center,0,78373,10,88,Rock,81
Brooklyn,Bruno Mars,Barclays Center,0,78373,10,88,Rock,81
Indianapolis,Portugal. The Man,Farm Bureau Insurance Lawn at White River State Park,1,843393,7,78,Rock,32.5
Charlotte,Portugal. The Man,Charlotte Metro Credit Union Amphitheatre,0,44349,9,78,Rock,27.5
Charleston,Portugal. The Man,Volvo Car Stadium ,1,50821,9,78,Rock,26.5
Council Bluffs,Portugal. The Man,Stir Concert Cove-Harrah's Council Bluffs Casino & Hotel,1,61969,8,78,Rock,35
Dallas,Maren Morris,Dos Equis Pavilion,0,1257676,7,82,Rock,29.5
Alpharetta,Maren Morris,Verizon Amphitheatre,0,62298,9,82,Rock,47
Tampa,Maren Morris,MIDFLORIDA Credit Union Amphitheatre at the FL State Fairgrounds,1,352957,9,82,Rock,37
Mountain View,Maren Morris,Shoreline Amphitheatre,1,77846,8,82,Rock,29.5
Irvine,Maren Morris,FivePoint Amphitheatre,1,236716,8,82,Rock,37.5
Chula Vista,Maren Morris,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),0,256780,8,82,Rock,31.5
Tinley Park,Maren Morris,"Hollywood Casino Amphitheatre - Chicago, IL",0,57282,7,82,Rock,29.5
Woodlands,Maren Morris,The Cynthia Woods Mitchell Pavilion presented by Huntsman,0,???,7,82,Rock,29.5
Wilmington,Grey,The Queen,1,112067,6,82,Rock,29.5
Los Angeles,Grey,Teragram Ballroom,1,3884307,9,82,Rock,30
Indianapolis,Grey,Farm Bureau Insurance Lawn at White River State Park,1,843393,8,82,Rock,27.5
Chesterfield,Grey,Chesterfield Amphitheater,1,47749,8,82,Rock,25
Los Angeles,Maren Morris,Greek Theatre,0,3884307,8,82,Rock,37
Foxborough,Ed Sheeran,Gillette Stadium,0,???,9,94,Pop,39.5
Portsmouth,Grey,Union Bank & Trust Pavilion ,0,96205,6,82,Rock,24.5
Asheville,Grey,U.S. Cellular Center Asheville,0,87236,6,82,Rock,27
Miami,Migos,AmericanAirlines Arena,1,417650,9,90,Hip-Hop/Rap,55.5
Salt Lake City,Migos,Vivint Smart Home Arena,0,191180,7,90,Hip-Hop/Rap,46.5
Brooklyn,Migos,Barclays Center,0,78373,8,90,Hip-Hop/Rap,80.5
Cincinnati,Jason Aldean,Riverbend Music Center,0,297517,9,79,Country,24.5
Detroit,Bazzi,Saint Andrews Hall,0,688701,8,83,Pop,25
Silver Spring,Bazzi,The Fillmore Silver Spring presented by Cricket Wireless,0,???,7,83,Pop,25
Seattle,Bazzi,Neptune Theatre,1,652405,7,83,Pop,25
Chicago,Migos,United Center,0,2718782,8,90,Hip-Hop/Rap,59.5
Orange Beach,Jason Aldean,The Wharf Amphitheater,0,???,7,79,Country,32.75
Saratoga Springs,Jason Aldean,Saratoga Performing Arts Center,1,???,7,79,Country,20
Chicago,Bazzi,House of Blues Chicago presented by Cricket Wireless,0,2718782,8,83,Pop,29.5
Atlantic City,Bazzi,Atlantic City Beach,1,39551,7,83,Dance/Electronic,39.5
Tinley Park,Niall Horan,"Hollywood Casino Amphitheatre - Chicago, IL",0,57282,7,78,Rock,29.5
Nashville,Migos,Bridgestone Arena,0,634464,9,90,Hip-Hop/Rap,45
Inglewood,Migos,The Forum,0,111542,10,90,Hip-Hop/Rap,59.5
Chesterfield,Jordan Davis,Chesterfield Amphitheater,0,47749,6,69,Country,35
West Sacramento,Jordan Davis,Raley Field,0,49891,9,69,Country,34.5
Woodlands,Savage,The Cynthia Woods Mitchell Pavilion presented by Huntsman,0,???,6,89,Hip-Hop/Rap,89
Los Angeles,Niall Horan,Greek Theatre,0,3884307,8,78,Rock,37
Seattle,Sam Smith,KeyArena,1,652405,9,86,Rock,35
Grand Rapids,Brett Young,Van Andel Arena,1,192294,10,71,Country,32.25
Clarkston,Luke Combs,DTE Energy Music Theatre,0,???,9,79,Country,30.75
Bethel,Luke Combs,Bethel Woods Center for the Arts,0,???,7,79,Country,46.75
Cuyahoga Falls,Luke Combs,Blossom Music Center,0,49267,8,79,Country,38.75
Nashville,Luke Combs,Bridgestone Arena,0,634464,9,79,Country,31.55
Wheatland,Luke Combs,Toyota Amphitheatre,0,???,9,79,Country,39
Cincinnati,Luke Combs,Riverbend Music Center,0,297517,9,79,Country,24.5
San Bernardino,Luke Combs,Glen Helen Amphitheater formerly San Manuel Amphitheater,1,213708,9,79,Country,30.75
Atlanta,Luke Combs,SunTrust Park,1,447841,7,79,Country,35.5
Mountain View,Luke Combs,Shoreline Amphitheatre,0,77846,9,79,Country,40
Chula Vista,Luke Combs,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),0,256780,9,79,Country,39.5
Mansfield,Bebe Rexha,Xfinity Center,1,60872,6,87,Rock,23.5
Wantagh,Bebe Rexha,Northwell Health at Jones Beach Theater,0,???,6,87,Rock,39
Rosemont,Bebe Rexha,Allstate Arena,1,???,6,87,Dance/Electronic,55
Milwaukee,Bebe Rexha,American Family Insurance Amphitheater-Summerfest,1,599164,6,87,Country,60.07
New York,Bebe Rexha,The Rooftop at Pier 17,0,52122,8,87,Rock,45
Clarkston,Lynyrd Skynyrd,DTE Energy Music Theatre,0,???,8,74,Rock,35.5
Stateline,Luke Bryan,Lake Tahoe Outdoor Arena at Harveys,0,???,7,79,Country,69.5
London,Dustin Lynch,Western Fair District,1,???,7,73,Country,89.5
Darien Center,Logic,Darien Lake Amphitheater,0,???,7,88,Hip-Hop/Rap,25
Inglewood,P!nk,The Forum,0,111542,4,82,Rock,47.45
Glendale,P!nk,Gila River Arena,1,196021,3,82,Rock,54.95
Charlotte,P!nk,Spectrum Center ,1,44349,3,82,Rock,59.95
Tampa,P!nk,Amalie Arena,1,352957,3,82,Rock,84.95
Portland,P!nk,Moda Center,1,609456,4,82,Rock,59.95
New York,P!nk,Madison Square Garden,0,52122,5,82,Rock,132.45
Sacramento,P!nk,Golden 1 Center,0,49891,4,82,Rock,43.89
Nashville,P!nk,Bridgestone Arena,1,634464,3,82,Rock,69.95
Detroit,P!nk,Little Caesars Arena,0,688701,4,82,Rock,59.45
San Jose,P!nk,SAP Center at San Jose,0,998537,4,82,Rock,43.45
Sunrise,Panic! At The Disco,BB&T Center,0,90116,7,84,Rock,26.5
Miami,Adele,James L Knight Center,1,417650,6,83,Comedy,39
Boston,Panic! At The Disco,TD Garden,0,645966,7,84,Rock,26.25
Portland,Panic! At The Disco,Moda Center,1,609456,8,84,Rock,28.75
Uniondale,Panic! At The Disco,"NYCB LIVE, Home of The Nassau Veterans Memorial Coliseum",0,???,7,84,Rock,29.25
Irving,Savage,The Pavilion at Toyota Music Factory,0,228653,6,89,Hip-Hop/Rap,89.5
Cincinnati,Chris Stapleton,Riverbend Music Center,0,297517,10,80,Country,31.25
Saratoga Springs,Chris Stapleton,Saratoga Performing Arts Center,0,???,8,80,Country,20
Maryland Heights,Chris Stapleton,"Hollywood Casino Amphitheatre - St. Louis, MO",0,???,7,80,Country,34.75
Chula Vista,Chris Stapleton,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),0,256780,8,80,Country,34.75
Camden,Chris Stapleton,BB&T Pavilion  ,0,76903,6,80,Country,34.75
Mansfield,Chris Stapleton,Xfinity Center,1,60872,6,80,Country,34.75
